   0,   10,   20,   30,   40,   50,   60,   70,   80,   90,  100,  110,  120,  130,  140,  150,  160,  170,  180,  190
  10,    0,   15,   25,   35,   45,   55,   65,   75,   85,   95,  105,  115,  125,  135,  145,  155,  165,  175,  185
  20,   15,    0,   10,   20,   30,   40,   50,   60,   70,   80,   90,  100,  110,  120,  130,  140,  150,  160,  170
  30,   25,   10,    0,   10,   20,   30,   40,   50,   60,   70,   80,   90,  100,  110,  120,  130,  140,  150,  160
  40,   35,   20,   10,    0,   10,   20,   30,   40,   50,   60,   70,   80,   90,  100,  110,  120,  130,  140,  150
  50,   45,   30,   20,   10,    0,   10,   20,   30,   40,   50,   60,   70,   80,   90,  100,  110,  120,  130,  140
  60,   55,   40,   30,   20,   10,    0,   10,   20,   30,   40,   50,   60,   70,   80,   90,  100,  110,  120,  130
  70,   65,   50,   40,   30,   20,   10,    0,   10,   20,   30,   40,   50,   60,   70,   80,   90,  100,  110,  120
  80,   75,   60,   50,   40,   30,   20,   10,    0,   10,   20,   30,   40,   50,   60,   70,   80,   90,  100,  110
  90,   85,   70,   60,   50,   40,   30,   20,   10,    0,   10,   20,   30,   40,   50,   60,   70,   80,   90,  100
 100,   95,   80,   70,   60,   50,   40,   30,   20,   10,    0,   10,   20,   30,   40,   50,   60,   70,   80,   90
 110,  105,   90,   80,   70,   60,   50,   40,   30,   20,   10,    0,   10,   20,   30,   40,   50,   60,   70,   80
 120,  115,  100,   90,   80,   70,   60,   50,   40,   30,   20,   10,    0,   10,   20,   30,   40,   50,   60,   70
 130,  125,  110,  100,   90,   80,   70,   60,   50,   40,   30,   20,   10,    0,   10,   20,   30,   40,   50,   60
 140,  135,  120,  110,  100,   90,   80,   70,   60,   50,   40,   30,   20,   10,    0,   10,   20,   30,   40,   50
 150,  145,  130,  120,  110,  100,   90,   80,   70,   60,   50,   40,   30,   20,   10,    0,   10,   20,   30,   40
 160,  155,  140,  130,  120,  110,  100,   90,   80,   70,   60,   50,   40,   30,   20,   10,    0,   10,   20,   30
 170,  165,  150,  140,  130,  120,  110,  100,   90,   80,   70,   60,   50,   40,   30,   20,   10,    0,   10,   20
 180,  175,  160,  150,  140,  130,  120,  110,  100,   90,   80,   70,   60,   50,   40,   30,   20,   10,    0,   10
 190,  185,  170,  160,  150,  140,  130,  120,  110,  100,   90,   80,   70,   60,   50,   40,   30,   20,   10,    0
